0,393,1
2900,452,3
693,393,2
621,393,2
1648,136,7
2142,169,10
429,181,10
513,181,10
2284,459,2
2155,407,7
2329,447,10
2075,405,7
2239,459,2
2770,307,10
1757,184,2
0,440,4
50,440,4
100,440,4
150,440,4
200,440,4
350,440,4
400,440,4
450,440,4
500,440,4
550,440,4
600,440,4
650,440,4
700,440,4
750,440,4
800,440,4
850,440,4
900,440,4
950,440,4
1000,440,4
1050,440,4
0,240,4
50,240,4
100,240,4
150,240,4
200,240,4
250,240,4
350,240,4
300,240,4
400,240,4
450,240,4
500,240,4
550,240,4
600,240,4
650,240,4
700,240,4
750,240,4
800,240,4
850,240,4
900,240,4
950,240,4
830,388,6
831,338,6
831,288,6
1197,440,4
1345,506,4
1475,506,11
1582,236,4
1639,235,4
1700,235,4
1767,231,4
1822,232,4
2046,231,4
2045,182,4
2048,136,4
2044,95,4
2100,232,4
2155,228,4
2212,228,4
1246,200,11
1935,505,4
1993,504,4
2049,504,4
2108,507,4
2160,506,4
2221,506,4
2296,506,4
2353,507,4
2406,508,4
2262,506,4
2461,506,4
2464,456,4
2514,408,4
2565,361,4
2617,311,4
2668,259,4
2720,208,4
2750,366,4
2803,367,4
15,187,200
67,193,201
